Country,Region
Hungary,UN-EUROPE
Iceland,UN-EUROPE
India,IAI Area 4&5 without China
Indonesia,IAI Area 4&5 without China
Iran,IAI Area 4&5 without China
Iraq,RoW
Ireland,UN-EUROPE
Israel,RoW
Italy,UN-EUROPE
Jamaica,IAI Area 3
Japan,IAI Area 4&5 without China
Jordan,RoW
Kazakhstan,IAI Area 4&5 without China
Kenya,RoW
Kiribati,RoW
"Korea, Dem. Rep.",RoW
"Korea, Rep.",IAI Area 4&5 without China
Kuwait,RoW
Kyrgyzstan,RoW
Lao PDR,RoW
"Latin American Integration Association, nes",RoW
Latvia,UN-EUROPE
Lebanon,RoW
Lesotho,RoW
Liberia,RoW
Libya,RoW
Lithuania,UN-EUROPE
Luxembourg,UN-EUROPE
"Macedonia, FYR",UN-EUROPE
Madagascar,RoW
Malawi,RoW
Malaysia,IAI Area 4&5 without China
Maldives,RoW
Mali,RoW
Malta,UN-EUROPE
Marshall Isds,RoW
Mauritania,RoW
Mauritius,RoW
Mayotte,RoW
Mexico,IAI Area 3
Micronesia,RoW
Moldova,UN-EUROPE
Mongolia,RoW
Montenegro,UN-EUROPE
Montserrat,RoW
Morocco,RoW
Mozambique,IAI Area 1
Myanmar,RoW
N. Mariana Isds,RoW
Namibia,RoW
Nauru,RoW
Nepal,RoW
Netherlands,UN-EUROPE
Netherlands Antilles,RoW
Neutral Zone,RoW
New Caledonia,RoW
New Zealand,UN-OCEANIA
Nicaragua,RoW
Niger,RoW
Nigeria,IAI Area 1
Niue,RoW
Norfolk Isds,RoW
"North America and Central America, nes",RoW
Norway,UN-EUROPE
"Oceania, nes",RoW
Oman,IAI Area 8
"Other Africa, nes",RoW
"Other Asia, nes",RoW
"Other Europe, nes",UN-EUROPE
Pakistan,IAI Area 4&5 without China
Palau,RoW
Panama,RoW
Papua New Guinea,RoW
Paraguay,RoW
Peru,RoW
Philippines,RoW
Pitcairn,RoW
Poland,UN-EUROPE
Portugal,UN-EUROPE
Qatar,IAI Area 8
Romania,UN-EUROPE
Russian Federation,UN-EUROPE
Rwanda,RoW
Saint Helena,RoW
Saint Kitts and Nevis,RoW
Saint Lucia,RoW
Saint Pierre and Miquelon,RoW
Saint Vincent and the Grenadines,RoW
Saint-Barthelemy,RoW
Samoa,RoW
San Marino,RoW
Sao Tome and Principe,RoW
Saudi Arabia,IAI Area 8
Senegal,RoW
Serbia,UN-EUROPE
Serbia and Montenegro,UN-EUROPE
Seychelles,RoW
Sierra Leone,IAI Area 1
Singapore,IAI Area 4&5 without China
Sint Maarten (Dutch part),IAI Area 3
Slovakia,UN-EUROPE
Slovenia,UN-EUROPE
Solomon Isds,RoW
Somalia,RoW
South Africa,IAI Area 1
South Georgia and the South Sandwich Isds,RoW
South Georgia and the South Sandwich Islands,RoW
South Sudan,RoW
Spain,UN-EUROPE
Special Categories,RoW
Sri Lanka,RoW
State of Palestine,RoW
Sudan,RoW
Suriname,IAI Area 3
Swaziland,RoW
Sweden,UN-EUROPE
Switzerland,UN-EUROPE
Syria,RoW
Tajikistan,IAI Area 1
Tanzania,IAI Area 1
Thailand,IAI Area 4&5 without China
Timor-Leste,RoW
Togo,RoW
Tokelau,RoW
Tonga,RoW
Trinidad and Tobago,RoW
Tunisia,RoW
Turkey,UN-EUROPE
Turkmenistan,RoW
Turks and Caicos Isds,RoW
Tuvalu,RoW
Uganda,RoW
Ukraine,UN-EUROPE
United Arab Emirates,IAI Area 8
United Kingdom,UN-EUROPE
United States,"IAI Area 2, without Quebec"
United States Minor Outlying Isds,RoW
Uruguay,RoW
Uzbekistan,RoW
Vanuatu,RoW
Venezuela,IAI Area 3
Vietnam,IAI Area 4&5 without China
Wallis and Futuna Isds,RoW
Western Sahara,RoW
Yemen,RoW
Zambia,RoW
Zimbabwe,IAI Area 1
