"Technology","Fuel Efficiency Change %","Incremental Cost 2000$","Incremental Cost ($/UnitWt.)","Absolute Incremental Weight (lbs.)","Per Unit Incremental Weight (lbs./UnitWt.)","Introduction Year","Horsepower Change","Size","Cylinders"
"Mass Reduction IV",8.4,0,0.62,0,-15,2016,0,"Light truck",""
"Mass Reduction V",11.6,0,0.72,0,-20,2020,0,"Light truck",""
"Aerodynamics I",2.4,48.17,0,0,0.5,2000,0,"Light truck",""
"Aerodynamics II",4.9,203.29,0,0,1,2011,0,"Light truck",""
"6 Speed Manual",2,255.59,0,20,0,1995,0,"Light truck",""
"Aggressive Shift Logic I",2.3,32.44,0,0,0,1999,0,"Light truck",""
"Aggressive Shift Logic II",6.3,27.18,0,0,0,2017,0,"Light truck",""
"Early Torque Converter Lockup",0.5,29.49,0,0,0,2002,0,"Light truck",""
"High Efficiency Gearbox",1.6,200.63,0,0,0,2017,0,"Light truck",""
"5 Speed Automatic",1.3,103.91,0,20,0,1995,0,"Light truck",""
"6 Speed Automatic",2,270.05,0,30,0,2003,0,"Light truck",""
"7 Speed Automatic",5,401.04,0,40,0,2009,0,"Light truck",""
"8 Speed Automatic",8,532.83,0,50,0,2014,0,"Light truck",""
"Dual Clutch Automated Manual",4.9,182.24,0,-10,0,2004,0,"Light truck",""
"CVT",7.8,250.98,0,-25,0,1998,0,"Light truck",""
"Low Friction Lubricants",0.7,3.2,0,0,0,2003,0,"Light truck",""
"Engine Friction Reduction I",2,47.16,0,0,0,2000,1.25,"Light truck","4 "
"Engine Friction Reduction I",2.6,71.14,0,0,0,2000,1.25,"Light truck","6 "
"Engine Friction Reduction I",2.5,94.32,0,0,0,2000,1.25,"Light truck","8 "
"Engine Friction Reduction II",3.6,100.71,0,0,0,2017,2.25,"Light truck","4 "
"Engine Friction Reduction II",4.7,147.87,0,0,0,2017,2.25,"Light truck","6 "
"Engine Friction Reduction II",4.4,195.03,0,0,0,2017,2.25,"Light truck","8 "
"Cylinder Deactivation",6.4,187.06,0,10,0,2004,0,"Light truck","6 "
"Cylinder Deactivation",6,209.97,0,10,0,2004,0,"Light truck","8 "
"VVT I-OHV Intake Cam Phasing",2.6,43.9,0,20,0,2051,1.25,"Light truck","6 "
"VVT I-OHV Intake Cam Phasing",2.5,43.9,0,30,0,2051,1.25,"Light truck","8 "
"VVT I-OHC Intake Cam Phasing",2.1,43.9,0,10,0,1993,1.25,"Light truck","4 "
"VVT I-OHC Intake Cam Phasing",2.6,88.76,0,20,0,1993,1.25,"Light truck","6 "
"VVT I-OHC Intake Cam Phasing",2.5,88.76,0,30,0,1993,1.25,"Light truck","8 "
"VVT II-OHV Coupled Cam Phasing",5.4,43.9,0,20,0,2009,1.25,"Light truck","6 "
"VVT II-OHV Coupled Cam Phasing",5.1,43.9,0,30,0,2009,1.25,"Light truck","8 "
"VVT II-OHC Coupled Cam Phasing",4.3,43.9,0,10,0,2009,1.25,"Light truck","4 "
"VVT II-OHC Coupled Cam Phasing",5.4,88.76,0,20,0,2009,1.25,"Light truck","6 "
"VVT II-OHC Coupled Cam Phasing",5.1,88.76,0,30,0,2009,1.25,"Light truck","8 "
"VVT III-OHV Dual Cam Phasing",5.4,99.26,0,25,0,2051,1.56,"Light truck","6 "
"VVT III-OHV Dual Cam Phasing",5.1,99.26,0,37.5,0,2051,1.56,"Light truck","8 "
"VVT III-OHC Dual Cam Phasing",4.3,90.67,0,12.5,0,2009,1.56,"Light truck","4 "
"VVT III-OHC Dual Cam Phasing",5.4,195.65,0,25,0,2009,1.56,"Light truck","6 "
"VVT III-OHC Dual Cam Phasing",5.1,195.65,0,37.5,0,2009,1.56,"Light truck","8 "
"VVL I-OHV Discrete",5.5,225.24,0,40,0,2000,2.5,"Light truck","6 "
"VVL I-OHV Discrete",5.2,322.59,0,50,0,2000,2.5,"Light truck","8 "
"VVL I-OHC Discrete",4.2,155.57,0,25,0,2000,2.5,"Light truck","4 "
"VVL I-OHC Discrete",5.5,225.24,0,40,0,2000,2.5,"Light truck","6 "
"VVL I-OHC Discrete",5.2,322.59,0,50,0,2000,2.5,"Light truck","8 "
"VVL II-OHV Continuous",7,1150.07,0,40,0,2011,2.5,"Light truck","6 "
"VVL II-OHV Continuous",6.5,1256.96,0,50,0,2011,2.5,"Light truck","8 "
"VVL II-OHC Continuous",5.3,232.88,0,25,0,2011,2.5,"Light truck","4 "
"VVL II-OHC Continuous",7,427.58,0,40,0,2011,2.5,"Light truck","6 "
