"Year","Value","Data_type","Region","Source","Unit","Aeo_year","Aeo_case"
2018,103.240204,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2019,100.033432,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2020,93.125366,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2021,88.291748,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2022,86.724571,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2023,88.743744,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2024,86.855476,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2025,86.347397,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2026,87.877335,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2027,88.328239,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2028,88.084923,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2029,89.45211,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2030,88.267281,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2031,90.452576,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2032,90.889748,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2033,90.519218,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2034,91.419342,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2035,91.081818,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2036,91.64994,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2037,92.347549,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2038,92.57531,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2039,92.339096,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2040,91.417229,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2041,90.886688,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2042,88.266495,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2043,87.649109,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2044,87.704239,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2045,87.358376,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2046,86.483582,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2047,86.927345,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2048,86.74382,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2049,87.745636,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2050,88.355659,"Electricity Generation","Midwest Reliability Council / West","Coal","billion kilowatthours",2018,"HOP"
2016,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2017,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2018,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2019,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2020,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2021,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2022,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2023,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2024,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2025,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2026,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2027,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2028,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2029,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2030,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2031,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2032,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2033,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2034,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2035,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2036,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2037,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2038,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2039,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2040,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2041,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2042,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2043,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2044,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2045,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2046,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2047,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2048,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2049,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2050,0,"Electricity Generation","Northeast Power Coordinating Council / Long Island","Coal","billion kilowatthours",2018,"HOP"
2016,2.534312,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2017,6.442102,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2018,1.021855,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2019,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2020,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2021,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2022,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2023,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2024,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2025,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2026,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2027,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2028,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2029,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2030,0.04621,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2031,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2032,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2033,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2034,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2035,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2036,0,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2037,0.007483,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2038,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2039,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2040,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2041,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2042,0.080055,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2043,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2044,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2045,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2046,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2047,0.086541,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2048,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2049,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2050,0.088465,"Electricity Generation","Northeast Power Coordinating Council / New England","Coal","billion kilowatthours",2018,"HOP"
2016,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2017,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2018,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2019,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2020,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2021,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2022,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2023,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2024,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2025,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2026,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2027,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2028,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2029,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2030,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2031,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2032,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2033,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2034,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2035,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2036,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2037,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2038,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2039,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2040,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2041,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2042,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2043,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2044,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2045,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2046,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2047,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2048,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2049,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2050,0,"Electricity Generation","Northeast Power Coordinating Council / NYC-Westchester","Coal","billion kilowatthours",2018,"HOP"
2016,1.437,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2017,4.500017,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2018,6.918085,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2019,5.623887,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2020,5.570008,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2021,5.915064,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2022,6.017717,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2023,6.09609,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2024,5.330314,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2025,3.632073,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2026,2.90174,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2027,2.527711,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2028,1.569373,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2029,2.889123,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2030,2.789946,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2031,2.336119,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2032,1.553961,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2033,1.55355,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2034,1.553361,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2035,1.553252,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2036,1.552793,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2037,1.551855,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2038,1.550993,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2039,1.549535,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2040,1.547603,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2041,1.546048,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2042,1.544535,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2043,1.543082,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2044,1.822769,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2045,3.267837,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2046,3.191343,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2047,3.129861,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2048,2.457416,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2049,3.184072,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2050,3.181685,"Electricity Generation","Northeast Power Coordinating Council / Upstate New York","Coal","billion kilowatthours",2018,"HOP"
2016,48.694744,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"HOP"
2017,65.395454,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"HOP"
2018,66.570366,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"HOP"
2019,63.275848,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"HOP"
2020,61.794125,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"HOP"
2021,64.459473,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"HOP"
2022,59.734825,"Electricity Generation","Reliability First Corporation / East","Coal","billion kilowatthours",2018,"HOP"
